agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close
WESTERN PACIFIC MED-CORP,,"4838 Laurel Canyon Boulevard,North Hollywood, CA 91607",(818) 506-4455,www.westpacmed.com,Yes,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children,EnglishTagalog,Last Updated: 8/14/2025 5:26:23 AM,05:30,10:00,,,05:30,14:30,,,05:30,14:30,,,05:30,14:30,,,05:30,14:30,,,05:30,14:30,,,05:30,10:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Orxr & Day Outpatient and Community Services,"10210 Orr and Day Road, Suite B,Santa Fe Springs, CA 90670",(562) 348-0083,http://www.lacada.com/,No,,,Youth; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice,Spanish,Last Updated: 8/6/2025 9:55:31 AM,08:30,21:00,,,08:30,21:00,,,08:30,17:00,,,08:30,17:00,,,08:30,21:00,,,08:30,17:00,,,08:30,17:00,,
PACIFIC CLINICS,Santa Fe Springs,"11721 East Telegraph Road, Suite A,Santa Fe Springs, CA 90670",(562) 949-8455,http://www.pacificclinics.org/,Yes,,,Adult; Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q,EnglishSpanish,Last Updated: 7/3/2025 8:39:40 AM,Closed,Closed,,,08:30,17:00,,,12:30,21:00,,,08:30,17:00,,,12:30,21:00,,,08:30,17:00,,,08:30,17:00,,
"PRINCIPLES, INC.",,",Pasadena, CA 91107",(213) 625-5009,https://www.impacthouse.com,Yes,RBHAdult - M: 0Adult - F: 0,,,English,Last Updated: 8/13/2025 9:01:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,START House - LBGTQ Friendly,",Altadena, CA 91001",(626) 421-6311,http://www.lacada.com/,Yes,RBHAdult - M: 0Adult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Altadena, CA 91001",(626) 421-6382,http://www.lacada.com/,No,RBHAdult - M: 0Adult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAFETY CONSULTANT SERVICES, INC.",,"5518 North Long Beach Boulevard,Long Beach, CA 90805",(562) 428-6426,https://www.safetyconsultantservicesinc.com,Yes,,,,EnglishSpanish,Last Updated: 6/29/2017 4:07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HOUSE,,"9718 Harvard Street,Bellflower, CA 90706",(562) 539-6281,,Yes,RS(3.1)Adult - F: 0RS(3.5)Adult - F: 0,,Adult; Women; Homeless,Spanish,Last Updated: 8/14/2025 5:13:58 AM,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,Closed,Closed,,
WEST COUNTY MEDICAL CLINIC,,"100 East Market Street,Long Beach, CA 90805",(562) 428-4222,http://www.americanhealthservices.org/,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 8/13/2025 6:59:33 PM,08:00,11:00,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,08:00,11:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,"5861 Cherry Avenue,Long Beach, CA 90805",(562) 676-4259,http://www.lacada.com/,No,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,Spanish,Last Updated: 8/13/2025 8:42:02 AM,Closed,Closed,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,17:00,,,08:00,17:00,,
TWIN PALMS RECOVERY CENTER,,"3574 Lexington Avenue,El Monte, CA 91731",(626) 443-4008,https://www.twinpalmsrc.org,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 8:40:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRITT FAMILY SERVICES,,"2000 Tyler Avenue,El Monte, CA 91733",(855) 714-8800,https://www.spiritt.org,Yes,,,Youth; Co-; Occurring; Mental; Health; Capabilities,EnglishSpanish,Last Updated: 8/13/2025 11:02:16 AM,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,Closed,Closed,,
"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAMS, INC.",Angel Step Too,"16316, 16316 1/2, 16318, 16322, 16322 1/2 and 16322 7/8 Cornuta Avenue,Bellflower, CA 90706",(562) 399-5452,https://www.scadpinc.org,No,RS(3.1)Adult - F: 0RS(3.5)Adult - F: 0R-WMAdult - F: 0,,Perinatal,EnglishSpanish,Last Updated: 8/14/2025 9:07:50 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
"DIVINE HEALTHCARE SERVICES, INC.",Recovery Bridge Housing (RBH),",Bellflower, CA 90706",(310) 672-3820,https://www.divinehealthservices.org,No,RBHAdult - M: 2,,,Spanish,Last Updated: 8/13/2025 9:22:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,"5190 Atlantic Avenue,Long Beach, CA 90805",(800) 996-1051,https://www.tarzanatc.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/13/2025 11:05:53 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Mid Valley Outpatient,"11046 Main Street,El Monte, CA 91731",(626) 636-2370,https://www.socialmodelrecovery.org/,Yes,,,Youth; L; G; B; T; Q; Homeless,Spanish,Last Updated: 8/14/2025 7:41:00 AM,Closed,Closed,,,08:00,20:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,17:00,,,08:00,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"5178 Atlantic Avenue,Long Beach, CA 91801",(800) 996-1051,https://www.tarzanatc.org,Yes,,,M; A; T; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/13/2025 11:07:47 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"AEGIS TREATMENT CENTERS, LLC",,"11041 East Valley Boulevard,El Monte, CA 91731",(626) 442-4177,http://www.aegistreatmentcenters.com/,Yes,,,M; A; T; Perinatal; Homeless,American Sign LanguageEnglishSpanish,Last Updated: 8/14/2025 8:29:38 AM,06:00,10:00,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,06:00,10:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,L.A. CADA (SFS),"11015 Bloomfield Avenue,Santa Fe Springs, CA 90670",(562) 906-2676,http://www.lacada.com/,Yes,,,Adult; Youth; Women; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 8:42:01 AM,Closed,Closed,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,17:00,,,08:00,17:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Allen House,"11111 BloomField Avenue,Santa Fe Springs, CA 90670",(562) 906-2685,http://www.lacada.com/,Yes,RS(3.1)Adult - F: 0,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice,Russian,Last Updated: 8/13/2025 8:42:02 AM,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,
"PALM HOUSE, INC.",,"2515 East Jefferson Street,Carson, CA 90810",(310) 830-7803,https://palmhouseinc.com,Yes,RS(3.1)Adult - M: 0Youth - M: 0,,Adult; Criminal; Justice,English,Last Updated: 8/14/2025 9:29:32 AM,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,Closed,Closed,,,Closed,Closed,,
ANDERSON COUNSELING AND EDUCATION,,"7028 Greenleaf Avenue, Unit K,Whittier, CA 90602",(562) 945-2977,https://www.aceprogram.net,No,,,,Spanish,Last Updated: 3/17/2025 3:09:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DRIVER SAFETY SCHOOLS, INC.",AM/PM Convenient West Los Angeles School and Assessments,"12304 Santa Monica Boulevard, Suite 104,West Los Angeles, CA 90025",(310) 479-8353,https://www.californiacourtprograms.com,Yes,,,,EnglishFarsiSpanish,Last Updated: 6/29/2017 10:05:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I-ADARP, INC.",,"8330 Lankershim Boulevard, 1st Floor,North Hollywood, CA 91605",(818) 252-1400,https://www.i-adarp.org,Yes,,,,English,Last Updated: 8/13/2025 8:47:53 AM,Closed,Closed,,,09:00,20:00,,,09:00,21:00,,,09:00,21:00,,,09:00,20:00,,,08:00,16:30,,,08:00,16:30,,
WESTERN PACIFIC MED-CORP,,"11902 Rosecrans Boulevard, Suites A and D,Norwalk, CA 90650",(562) 929-7188,www.westpacmed.com,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 8/14/2025 5:26:23 AM,05:00,09:00,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,09:00,,
"FRED BROWN'S RECOVERY SERVICES, INC.",,",Torrance, CA 90502",(310) 519-8723,https://www.fredbrown.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/14/2025 8:22:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAPT - AWARE ZONE, INC.",,"13211 Whittier Boulevard, Unit H ,Whittier, CA 90602",(562) 698-0474,https://www.adaptawareduiprograms.com,Yes,,,,EnglishSpanish,Last Updated: 6/29/2017 10:04:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN HEALTH SERVICES LLC,,"717 Lincoln Boulevard,Venice, CA 90291",(310) 399-9883,http://www.americanhealthservices.org,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 8/13/2025 6:59:33 PM,09:00,11:00,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,09:00,11:00,,
SPIRITT FAMILY SERVICES,,"8000 Painter Avenue,Whittier, CA 90602",(562) 903-7000,https://www.spiritt.org,Yes,,,Adult; Youth; Co-; Occurring; Mental; Health; Capabilities,EnglishSpanish,Last Updated: 8/13/2025 11:02:16 AM,Closed,Closed,,,08:00,19:00,,,08:00,21:00,,,08:00,19:00,,,08:00,21:00,,,08:00,17:30,,,08:00,16:30,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Omni,"3430 Cogswell Road,El Monte, CA 91732",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - M: 0RS(3.3)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; M; A; T; L; G; B; T; Q; Criminal; Justice,Spanish,Last Updated: 8/13/2025 9:19:59 AM,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Omni Center,"3426 Cogswell Road,El Monte, CA 91732",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - M: 0RS(3.3)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; M; A; T; L; G; B; T; Q; Criminal; Justice,Spanish,Last Updated: 8/13/2025 9:19:59 AM,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,,09:00,16:00,,
"HELPLINE YOUTH COUNSELING, INC.",The Starting Point,"12440 Firestone Boulevard, Suite 316,Norwalk, CA 90650",(562) 864-3722,https://hycinc.org,Yes,,,Adult; Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 8:04:50 AM,Closed,Closed,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,Closed,Closed,,
"DIVINE HEALTHCARE SERVICES, INC.",Recovery Bridge Housing (RBH),",Long Beach, CA 90807",(310) 672-3820,https://www.divinehealthservices.org,Yes,RBHAdult - M: 0,,,Spanish,Last Updated: 8/13/2025 9:22:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEHAVIORAL HEALTH SERVICES, INC.",,"1334 Post Avenue,Torrance, CA 90501",(310) 328-1460,http://bhs-inc.org/,Yes,,,Adult; Youth,English,Last Updated: 8/12/2025 8:35:29 AM,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,17:00,,,08:00,17:00,,
HIGH GAIN PROGRAM/NCADD SOUTH BAY,NCADD/Southbay,"1334 Post Avenue,Torrance, CA 90501",(310) 328-1587,https://www.bhs-inc.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Criminal; Justice,EnglishSpanish,Last Updated: 6/29/2017 10:32:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROOTS, INC. DBA ROOTS THROUGH RECOVERY",,"3939 Atlantic Avenue, Suite 102,Long Beach, CA 90807",(562) 473-0827,www.roots-recovery.com,No,,,M; A; T; L; G; B; T; Q; Veterans,EnglishSpanish,Last Updated: 8/13/2025 8:18:26 AM,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,
TWIN TOWN CORPORATION,Twin Town Treatment Centers,"4940 Van Nuys Boulevard, Suite 201,Sherman Oaks, CA 91403",(818) 985-0560,https://twintowntreatmentcenters.com,Yes,,,Adult,English,Last Updated: 8/14/2025 8:12:14 AM,Closed,Closed,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,17:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Omni Center,",El Monte, CA 91732",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RBHAdult - M: 0,,Adult; M; A; T; L; G; B; T; Q; Criminal; Justice,Spanish,Last Updated: 8/13/2025 9:19:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Omni House,",El Monte, CA 91732",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RBHAdult - M: 0,,,Spanish,Last Updated: 8/13/2025 7:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRED BROWN'S RECOVERY SERVICES, INC.",,",Torrance, CA 90501",(310) 519-8723,https://www.fredbrown.org/,Yes,RBHAdult - M: 0,,,English,Last Updated: 8/14/2025 8:22:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",,"8741 Laurel Canyon Boulevard,Sun Valley, CA 91352",(818) 768-5525,,Yes,,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless,EnglishSpanish,Last Updated: 8/7/2025 7:18:29 AM,07:00,11:00,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,07:00,11:00,,
"DRIVER BENEFITS PROGRAM, INC.",,"2370 West Carson Street, Suite 150,Torrance, CA 90501",(310) 320-9550,https://www.driverbenefitsinc.com,Yes,,,,EnglishSpanish,Last Updated: 6/29/2017 10:21:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Casa De Consuelo,",Whittier, CA 90605",(626) 537-1807,http://www.lacada.com/,No,,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Whittier, CA 90605",(626) 537-1807,http://www.lacada.com/,No,RBHAdult - F: 0Youth - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,L.A. CADA HOW House,"14100 Glengyle Street,Whittier, CA 90604",(562) 906-2676,http://www.lacada.com/,Yes,RS(3.1)Adult - F: 0Youth - F: 0RS(3.5)Adult - F: 0Youth - F: 0,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice,Spanish,Last Updated: 8/13/2025 8:42:02 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
CLARE|MATRIX,,"1002 Pico Boulevard,Santa Monica, CA 90405",(310) 314-6200,https://www.clarematrix.org,Yes,,,M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless,English,Last Updated: 8/14/2025 9:36:01 AM,Closed,Closed,,,08:00,21:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,21:00,,,08:00,16:00,,
CLARE|MATRIX,Women's Treatment Program,"844 Pico Boulevard,Santa Monica, CA 90405",(310) 314-6200,https://www.clarematrix.org,Yes,RS(3.1)Adult - F: 6RS(3.5)Adult - F: 4,,Adult; Women; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,English,Last Updated: 8/14/2025 9:36:01 AM,Closed,Closed,,,08:00,19:00,,,08:00,16:00,,,08:00,15:30,,,08:00,16:00,,,08:00,19:00,,,08:00,14:00,,
CLARE|MATRIX,Men's Treatment Program,"907 and 909 Pico Boulevard,Santa Monica, CA 90405",(310) 314-6200,https://www.clarematrix.org,Yes,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0,,M; A; T; Homeless,English,Last Updated: 8/14/2025 9:36:01 AM,Closed,Closed,,,08:00,19:00,,,08:00,16:00,,,08:00,16:00,,,08:00,16:00,,,08:00,19:00,,,08:00,14:00,,
WESTERN PACIFIC MED-CORP,,"14332 Victory Boulevard,Van Nuys, CA 91401",(818) 989-1996,www.westpacmed.com,Yes,,,Adult; M; A; T,ArmenianEnglishFarsiRussian,Last Updated: 8/14/2025 5:26:23 AM,06:00,10:00,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,05:00,13:30,,,06:00,10:00,,
"PHOENIX HOUSES OF LOS ANGELES, INC.",Phoenix House - Venice,"503 Ocean Front Walk,Venice, CA 90291",(310) 392-3070,https://phoenixhouseca.org,Yes,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; Criminal; Justice; Sexually-; Exploited,Spanish,Last Updated: 8/14/2025 8:52:22 AM,Closed,Closed,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,08:00,16:30,,,Closed,Closed,,
NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,,"6166 Vesper Avenue,Van Nuys, CA 91411",(818) 997-0414,https://www.ncadd.org/,Yes,,,Adult; Women; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 9:13:57 AM,Closed,Closed,,,09:30,21:00,,,09:30,20:00,,,09:30,21:00,,,09:30,20:00,,,08:30,17:00,,,09:00,17:30,,
AM/PM CULVER CITY BUDGET/ESCUELA LATINA AND ALCOHOL ASSESSMENTS 2,,"6315 Van Nuys Boulevard, Suite A-3,Van Nuys, CA 91401",(818) 787-7878,https://www.californiacourtprograms.com,No,,,,EnglishFarsiSpanish,Last Updated: 5/17/2023 8:43:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE TEEN PROJECT, INC., D.B.A. FREEHAB",Freehab,"14530 Sylvan Street,Van Nuys, CA 91411",(800) 685-7460,https://www.theteenproject.com,Yes,RS(3.1)Adult - F: 0RS(3.3)Adult - F: 0RS(3.5)Adult - F: 0R-WMAdult - F: 0,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Criminal; Justice; Sexually-; Exploited,ArmenianRussianSpanish,Last Updated: 8/12/2025 9:23:34 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
TWIN TOWN CORPORATION,Twin Town Treatment Centers,"3828 Carson Street, Suite 100,Torrance, CA 90503",(310) 787-1335,https://twintowntreatmentcenters.com,Yes,,,Adult; Youth,EnglishSpanish,Last Updated: 8/14/2025 8:12:14 AM,Closed,Closed,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,17:00,,
"HELPLINE YOUTH COUNSELING, INC.",The Starting Point,"14181 Telegraph Road,Whittier, CA 90604",(562) 273-0722,https://hycinc.org,Yes,,,Adult; Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 8:04:50 AM,Closed,Closed,,,08:00,17:00,,,08:00,16:30,,,08:00,17:00,,,08:00,16:30,,,08:00,17:00,,,08:00,16:30,,
"DIVINE HEALTHCARE SERVICES, INC.",Recovery Bridge Housing (RBH),",Long Beach, CA 90806",(310) 672-3820,https://www.divinehealthservices.org,Yes,RBHAdult - M: 1,,,Spanish,Last Updated: 8/13/2025 9:22:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIVINE HEALTHCARE SERVICES, INC.",,",Long Beach, CA 90806",(310) 672-3820,https://www.divinehealthservices.org,Yes,RBHAdult - M: 1,,,Spanish,Last Updated: 8/13/2025 9:22:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Long Beach, CA 90806",(562) 982-4018,http://www.lacada.com/,No,RBHAdult - M: 0Adult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EGGLESTON YOUTH CENTERS, INC., D. B. A. EGGLESTON SUBSTANCE ABUSE AND EDUCATION PROGRAM",Eggleston Substance Abuse and Education Program,"13001 Ramona Boulevard, Suites E & J,Irwindale, CA 91706",(626) 472-6000,https://www.egglestonyouthcenter.org,Yes,,,Adult; Youth; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Criminal; Justice,EnglishSpanish,Last Updated: 8/8/2025 8:54:33 AM,Closed,Closed,,,12:00,21:00,,,12:00,21:00,,,12:00,20:00,,,12:00,20:00,,,09:00,20:00,,,09:00,18:00,,
CAMBODIAN ASSOCIATION OF AMERICA,,"2501 Atlantic Avenue,Long Beach, CA 90806",(562) 424-6105,http://www.cambodianusa.com/,Yes,,,Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,CambodianEnglishSpanish,Last Updated: 8/14/2025 6:48:46 AM,Closed,Closed,,,08:30,17:30,,,08:30,21:00,,,08:30,17:30,,,08:30,21:00,,,08:30,17:30,,,09:00,17:00,,
"FRED KENNEDY ASSOCIATES, INC.",,"1424 4th Street, Suite 205,Santa Monica, CA 90401",(310) 451-5881,https://www.fredkennedy.us,No,,,,Spanish,Last Updated: 3/26/2024 12:16:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN HEALTH SERVICES LLC,,"6265 Sepulveda Boulevard, Suite 9,Van Nuys, CA 91411",(818) 779-0555,http://www.americanhealthservices.org,Yes,,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities,English,Last Updated: 8/13/2025 6:59:33 PM,07:00,11:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,07:00,11:00,,
AMERICAN INDIAN CHANGING SPIRITS,,"2120 West Williams Street, Buildings 1, 2, and 3,Long Beach, CA 90810",(562) 388-8118,http://americanindianchangingspirits.com,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; Women; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,Spanish,Last Updated: 8/13/2025 10:23:20 AM,07:30,20:30,,,07:30,20:30,,,07:30,20:30,,,07:30,20:30,,,07:30,20:30,,,07:30,20:30,,,07:30,20:30,,
"TARZANA TREATMENT CENTERS, INC.",,"2101 Magnolia Avenue,Long Beach, CA 90806",(800) 996-1051,https://www.tarzanatc.org,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.3)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 1Adult - F: 1R-WMAdult - M: 0Adult - F: 0,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,ArmenianEnglishSpanish,Last Updated: 8/13/2025 11:05:19 AM,Closed,Closed,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:00,14:00,,
